username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
tildieandchewie,"The Adventures of Tildie and Chewie. A little girl's imagination takes her to a galaxy far, far away. Created by Patrick Lind https://t.co/yhj5wFEbpO","A Galaxy far, far away",488,441,722,2018-01-28 18:34:45,2020-10-26 20:16:48,0,"A vote against Trump is a vote against autocrats everywhere
.
.
.
#putin #trump #russia #usa #vote #voteblue2020 #voteart #election #election2020 #biden #joebiden #bidenharris2020 #warning #VoteBlueToEndThisNightmare #VoteBlueDownTheBallot https://t.co/ouN5B3AENB","[{'text': 'putin', 'indices': [66, 72]}, {'text': 'trump', 'indices': [73, 79]}, {'text': 'russia', 'indices': [80, 87]}, {'text': 'usa', 'indices': [88, 92]}, {'text': 'vote', 'indices': [93, 98]}, {'text': 'voteblue2020', 'indices': [99, 112]}, {'text': 'voteart', 'indices': [113, 121]}, {'text': 'election', 'indices': [122, 131]}, {'text': 'election2020', 'indices': [132, 145]}, {'text': 'biden', 'indices': [146, 152]}, {'text': 'joebiden', 'indices': [153, 162]}, {'text': 'bidenharris2020', 'indices': [163, 179]}, {'text': 'warning', 'indices': [180, 188]}, {'text': 'VoteBlueToEndThisNightmare', 'indices': [189, 216]}, {'text': 'VoteBlueDownTheBallot', 'indices': [217, 239]}]"
R22MAGNA,,,397,97,12311,2015-12-17 19:34:54,2020-10-26 20:13:38,0,"Wow... Get the popcorn ready....!

#election #Trump #Biden #Pennsylvania #Michigan #Wisconsin  #MAGA https://t.co/YktSM99yBh","[{'text': 'election', 'indices': [35, 44]}, {'text': 'Trump', 'indices': [45, 51]}, {'text': 'Biden', 'indices': [52, 58]}, {'text': 'Pennsylvania', 'indices': [59, 72]}, {'text': 'Michigan', 'indices': [73, 82]}, {'text': 'Wisconsin', 'indices': [83, 93]}, {'text': 'MAGA', 'indices': [95, 100]}]"
Marsha_4_Trump,"Trump supporter! I follow back all Patriots.  I love America and our President.  🇺🇸

#TRUMP2020LANDSLIDEVICTORY

No DMs -Not looking for relationship",,7274,7876,148807,2015-04-21 02:02:20,2020-10-26 20:12:52,2,God has now taken to ringing church bells every time Joe Biden begins to lie.... #biden #trump #vote #election https://t.co/flstr1fMDg,"[{'text': 'biden', 'indices': [102, 108]}, {'text': 'trump', 'indices': [109, 115]}, {'text': 'vote', 'indices': [116, 121]}, {'text': 'election', 'indices': [122, 131]}]"
HoustonTake0ver,"Aficionado of literature, love and life","Houston, TX",440,93,6303,2015-03-30 03:49:21,2020-10-26 20:08:58,2,God has now taken to ringing church bells every time Joe Biden begins to lie.... #biden #trump #vote #election https://t.co/flstr1fMDg,"[{'text': 'biden', 'indices': [81, 87]}, {'text': 'trump', 'indices': [88, 94]}, {'text': 'vote', 'indices': [95, 100]}, {'text': 'election', 'indices': [101, 110]}]"
ArcEng9154644,"Suspicious mind and veteran researcher (who excels at Bad Taste and Poor Judgment).

Imagine Lt. Columbo, Commissioner Lebel, and Mitchell Gant rolled into one.","Bronx, New York",209,214,13844,2019-01-02 08:26:42,2020-10-26 19:42:04,0,"I'm hoping for a close, disputed election.

#Election2020 #8MoreDays #Trump #Biden #Election #Election2000 #BushVGore https://t.co/BNi2DYiSfQ","[{'text': 'Election2020', 'indices': [44, 57]}, {'text': '8MoreDays', 'indices': [58, 68]}, {'text': 'Trump', 'indices': [69, 75]}, {'text': 'Biden', 'indices': [76, 82]}, {'text': 'Election', 'indices': [83, 92]}, {'text': 'Election2000', 'indices': [93, 106]}, {'text': 'BushVGore', 'indices': [107, 117]}]"
RubberNews,Where the rubber industry gets its news first.,"Akron, Ohio",979,5610,14086,2009-05-19 15:24:57,2020-10-26 19:30:08,1,"Depending on who wins the White House and who controls Congress, life could look much different in 2021, especially when it comes to issues including taxation, regulation, climate change and infrastructure repair.
#election #rubbernews #trump #biden
https://t.co/YjtC9VYBRW",[]
John_Zang,"@DMGSLLC Senior Policy Analyst, @AUWCL J.D. Candidate, a political Pennsylvanian now living in Washington, DC","Washington, DC",314,451,2457,2011-01-30 21:53:37,2020-10-26 19:05:24,4,"Want to keep up with the various important national races and see which states are ""must wins"" for both President #Trump and former VP #Biden? Then download 💻 the DMGS #Election Guide &amp; Results Tracker below!

#Elections #Election2020 #GeneralElection

https://t.co/PsaXKyzcP1","[{'text': 'Trump', 'indices': [127, 133]}]"
BAL_Immigration,We are a global firm singularly focused on meeting the immigration challenges of corporate clients around the world.,,97,4625,19894,2011-12-15 21:08:13,2020-10-26 19:02:02,1,"What will high-skilled #immigration policy look like following the 2020 #election? Join BAL’s Government Strategies Group on Thursday, October 29, 2020 to learn what a #Trump or #Biden win means for your US immigration program. Register here: https://t.co/3VpOXxvGby #2020election https://t.co/VBND6CheFl","[{'text': 'immigration', 'indices': [23, 35]}, {'text': 'election', 'indices': [72, 81]}, {'text': 'Trump', 'indices': [168, 174]}, {'text': 'Biden', 'indices': [178, 184]}, {'text': '2020election', 'indices': [267, 280]}]"
davidjagielski,"I write about healthcare and cannabis stocks on https://t.co/diRR85V59i; all industries on https://t.co/cO3KKBf79Z
https://t.co/OTNXdzZhq1
https://t.co/FcAHXlvIyQ",,8,316,621,2016-02-09 00:43:13,2020-10-26 19:00:01,0,"Forget Trump vs. Biden: Cannabis Investors Should Focus on These Election-Night Results

https://t.co/ctLiMsGUOc

#cannabis #investing #stocks #potstocks #marijuanastocks #election #biden #trump $CURLF $TCNNF $ACB $CGC $GTBIF","[{'text': 'cannabis', 'indices': [114, 123]}, {'text': 'investing', 'indices': [124, 134]}, {'text': 'stocks', 'indices': [135, 142]}, {'text': 'potstocks', 'indices': [143, 153]}, {'text': 'marijuanastocks', 'indices': [154, 170]}, {'text': 'election', 'indices': [171, 180]}, {'text': 'biden', 'indices': [181, 187]}, {'text': 'trump', 'indices': [188, 194]}]"
_MisterOwl,"I respect strength, hate belligerent ignorance, detest fake news & bullshit conspiracies, love family, & value life over trend, so I’m vegetarian. 🤷🏻‍♂️ hi.",13 mi. from your location.,23,32,1570,2013-12-05 00:38:12,2020-10-26 18:32:36,1,"#Biden lost this race when he threatened #oilandgas. There are powers far greater than our figureheads, and if you think that they're going to let him back in at the #election, you're crazy.
#Trump #Trump2020  #MAGA","[{'text': 'Biden', 'indices': [0, 6]}, {'text': 'oilandgas', 'indices': [41, 51]}, {'text': 'election', 'indices': [166, 175]}, {'text': 'Trump', 'indices': [191, 197]}, {'text': 'Trump2020', 'indices': [198, 208]}, {'text': 'MAGA', 'indices': [210, 215]}]"
